index,lat,lon,value,timestamp,name,shortname,units
104473,52.447430,-7.337415,7.429102,01-10-2016 01:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,7.116113,01-10-2016 01:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,7.433984,01-10-2016 01:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,7.363184,01-10-2016 01:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,7.323145,01-10-2016 01:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,7.354395,01-10-2016 01:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,7.411523,01-10-2016 01:00:00,Temperature,t,Celsius
105531,52.491741,-7.350140,7.102441,01-10-2016 01:00:00,Temperature,t,Celsius
105532,52.495613,-7.313749,7.001367,01-10-2016 01:00:00,Temperature,t,Celsius
105533,52.499474,-7.277352,7.186426,01-10-2016 01:00:00,Temperature,t,Celsius
106062,52.521633,-7.283688,7.129297,01-10-2016 01:00:00,Temperature,t,Celsius
104473,52.447430,-7.337415,6.900049,01-10-2016 02:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,6.820459,01-10-2016 02:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,7.129541,01-10-2016 02:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,6.970850,01-10-2016 02:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,6.869287,01-10-2016 02:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,6.992822,01-10-2016 02:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,7.164697,01-10-2016 02:00:00,Temperature,t,Celsius
105531,52.491741,-7.350140,6.917627,01-10-2016 02:00:00,Temperature,t,Celsius
105532,52.495613,-7.313749,7.023584,01-10-2016 02:00:00,Temperature,t,Celsius
105533,52.499474,-7.277352,7.363428,01-10-2016 02:00:00,Temperature,t,Celsius
106062,52.521633,-7.283688,7.615381,01-10-2016 02:00:00,Temperature,t,Celsius
104473,52.447430,-7.337415,7.101709,01-10-2016 03:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,7.247217,01-10-2016 03:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,7.295557,01-10-2016 03:00:00,Temperature,t,Celsius
