index,lat,lon,value,timestamp,name,shortname,units
104473,52.447430,-7.337415,5.596582,01-4-2016 01:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,5.744531,01-4-2016 01:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,6.009668,01-4-2016 01:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,5.944238,01-4-2016 01:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,5.992090,01-4-2016 01:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,6.231104,01-4-2016 01:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,6.383203,01-4-2016 01:00:00,Temperature,t,Celsius
105531,52.491741,-7.350140,6.252832,01-4-2016 01:00:00,Temperature,t,Celsius
105532,52.495613,-7.313749,6.400781,01-4-2016 01:00:00,Temperature,t,Celsius
105533,52.499474,-7.277352,6.456934,01-4-2016 01:00:00,Temperature,t,Celsius
106062,52.521633,-7.283688,6.413477,01-4-2016 01:00:00,Temperature,t,Celsius
104473,52.447430,-7.337415,5.855859,01-4-2016 02:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,6.007959,01-4-2016 02:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,6.238184,01-4-2016 02:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,6.273096,01-4-2016 02:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,6.290430,01-4-2016 02:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,6.507471,01-4-2016 02:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,6.616357,01-4-2016 02:00:00,Temperature,t,Celsius
105531,52.491741,-7.350140,6.611963,01-4-2016 02:00:00,Temperature,t,Celsius
105532,52.495613,-7.313749,6.724756,01-4-2016 02:00:00,Temperature,t,Celsius
105533,52.499474,-7.277352,6.720361,01-4-2016 02:00:00,Temperature,t,Celsius
106062,52.521633,-7.283688,6.711572,01-4-2016 02:00:00,Temperature,t,Celsius
104473,52.447430,-7.337415,6.046533,01-4-2016 03:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,6.203027,01-4-2016 03:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,6.437646,01-4-2016 03:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,6.454980,01-4-2016 03:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,6.481104,01-4-2016 03:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,6.702539,01-4-2016 03:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,6.841455,01-4-2016 03:00:00,Temperature,t,Celsius
105531,52.491741,-7.350140,6.828760,01-4-2016 03:00:00,Temperature,t,Celsius
105532,52.495613,-7.313749,6.967676,01-4-2016 03:00:00,Temperature,t,Celsius
105533,52.499474,-7.277352,6.980615,01-4-2016 03:00:00,Temperature,t,Celsius
106062,52.521633,-7.283688,6.976221,01-4-2016 03:00:00,Temperature,t,Celsius
104473,52.447430,-7.337415,5.977441,01-4-2016 04:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,6.120752,01-4-2016 04:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,6.298730,01-4-2016 04:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,6.246484,01-4-2016 04:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,6.307275,01-4-2016 04:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,6.433496,01-4-2016 04:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,6.585596,01-4-2016 04:00:00,Temperature,t,Celsius
105531,52.491741,-7.350140,6.572412,01-4-2016 04:00:00,Temperature,t,Celsius
105532,52.495613,-7.313749,6.681055,01-4-2016 04:00:00,Temperature,t,Celsius
105533,52.499474,-7.277352,6.715723,01-4-2016 04:00:00,Temperature,t,Celsius
106062,52.521633,-7.283688,6.702783,01-4-2016 04:00:00,Temperature,t,Celsius
104473,52.447430,-7.337415,5.943018,01-4-2016 05:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,6.095117,01-4-2016 05:00:00,Temperature,t,Celsius
