index,lat,lon,value,timestamp,name,shortname,units
104473,52.447430,-7.337415,11.213281,01-6-2016 01:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,11.323877,01-6-2016 01:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,11.514551,01-6-2016 01:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,11.208887,01-6-2016 01:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,11.279688,01-6-2016 01:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,11.660791,01-6-2016 01:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,11.642969,01-6-2016 01:00:00,Temperature,t,Celsius
105531,52.491741,-7.350140,11.656152,01-6-2016 01:00:00,Temperature,t,Celsius
105532,52.495613,-7.313749,11.842432,01-6-2016 01:00:00,Temperature,t,Celsius
105533,52.499474,-7.277352,11.877832,01-6-2016 01:00:00,Temperature,t,Celsius
106062,52.521633,-7.283688,11.913232,01-6-2016 01:00:00,Temperature,t,Celsius
104473,52.447430,-7.337415,10.069727,01-6-2016 02:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,10.242334,01-6-2016 02:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,10.459131,01-6-2016 02:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,9.936914,01-6-2016 02:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,10.065332,01-6-2016 02:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,10.512354,01-6-2016 02:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,10.552148,01-6-2016 02:00:00,Temperature,t,Celsius
105531,52.491741,-7.350140,10.379541,01-6-2016 02:00:00,Temperature,t,Celsius
105532,52.495613,-7.313749,10.649561,01-6-2016 02:00:00,Temperature,t,Celsius
105533,52.499474,-7.277352,10.684961,01-6-2016 02:00:00,Temperature,t,Celsius
106062,52.521633,-7.283688,10.658350,01-6-2016 02:00:00,Temperature,t,Celsius
104473,52.447430,-7.337415,8.801172,01-6-2016 03:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,9.026758,01-6-2016 03:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,9.313867,01-6-2016 03:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,8.610986,01-6-2016 03:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,8.694971,01-6-2016 03:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,9.221094,01-6-2016 03:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,9.340479,01-6-2016 03:00:00,Temperature,t,Celsius
105531,52.491741,-7.350140,8.916162,01-6-2016 03:00:00,Temperature,t,Celsius
105532,52.495613,-7.313749,9.203516,01-6-2016 03:00:00,Temperature,t,Celsius
105533,52.499474,-7.277352,9.389063,01-6-2016 03:00:00,Temperature,t,Celsius
106062,52.521633,-7.283688,9.367090,01-6-2016 03:00:00,Temperature,t,Celsius
104473,52.447430,-7.337415,7.787988,01-6-2016 04:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,7.977930,01-6-2016 04:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,8.362451,01-6-2016 04:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,7.766016,01-6-2016 04:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,7.695459,01-6-2016 04:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,8.172510,01-6-2016 04:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,8.397607,01-6-2016 04:00:00,Temperature,t,Celsius
