index,lat,lon,value,timestamp,name,shortname,units
104473,52.447430,-7.337415,8.554590,01-9-2016 01:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,9.094873,01-9-2016 01:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,9.590234,01-9-2016 01:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,8.648584,01-9-2016 01:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,9.161768,01-9-2016 01:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,9.670801,01-9-2016 01:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,9.844629,01-9-2016 01:00:00,Temperature,t,Celsius
105531,52.491741,-7.350140,9.492090,01-9-2016 01:00:00,Temperature,t,Celsius
105532,52.495613,-7.313749,9.433984,01-9-2016 01:00:00,Temperature,t,Celsius
105533,52.499474,-7.277352,9.501123,01-9-2016 01:00:00,Temperature,t,Celsius
106062,52.521633,-7.283688,8.844873,01-9-2016 01:00:00,Temperature,t,Celsius
104473,52.447430,-7.337415,8.430566,01-9-2016 02:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,8.711572,01-9-2016 02:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,9.197900,01-9-2016 02:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,8.100244,01-9-2016 02:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,8.751855,01-9-2016 02:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,9.242334,01-9-2016 02:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,9.541162,01-9-2016 02:00:00,Temperature,t,Celsius
105531,52.491741,-7.350140,8.783105,01-9-2016 02:00:00,Temperature,t,Celsius
105532,52.495613,-7.313749,8.850000,01-9-2016 02:00:00,Temperature,t,Celsius
105533,52.499474,-7.277352,9.077295,01-9-2016 02:00:00,Temperature,t,Celsius
106062,52.521633,-7.283688,8.252100,01-9-2016 02:00:00,Temperature,t,Celsius
104473,52.447430,-7.337415,8.122217,01-9-2016 03:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,8.313867,01-9-2016 03:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,8.496729,01-9-2016 03:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,8.032861,01-9-2016 03:00:00,Temperature,t,Celsius
