index,lat,lon,value,timestamp,name,shortname,units
104473,52.447430,-7.337415,6.176416,01-5-2016 01:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,6.324609,01-5-2016 01:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,6.568506,01-5-2016 01:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,6.420313,01-5-2016 01:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,6.542383,01-5-2016 01:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,6.803857,01-5-2016 01:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,6.973779,01-5-2016 01:00:00,Temperature,t,Celsius
105531,52.491741,-7.350140,6.917139,01-5-2016 01:00:00,Temperature,t,Celsius
105532,52.495613,-7.313749,7.130518,01-5-2016 01:00:00,Temperature,t,Celsius
105533,52.499474,-7.277352,7.195947,01-5-2016 01:00:00,Temperature,t,Celsius
106062,52.521633,-7.283688,7.187158,01-5-2016 01:00:00,Temperature,t,Celsius
104473,52.447430,-7.337415,7.290430,01-5-2016 02:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,7.447412,01-5-2016 02:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,7.630273,01-5-2016 02:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,7.560449,01-5-2016 02:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,7.586816,01-5-2016 02:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,7.713037,01-5-2016 02:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,7.869775,01-5-2016 02:00:00,Temperature,t,Celsius
105531,52.491741,-7.350140,7.839502,01-5-2016 02:00:00,Temperature,t,Celsius
105532,52.495613,-7.313749,7.952783,01-5-2016 02:00:00,Temperature,t,Celsius
105533,52.499474,-7.277352,8.013818,01-5-2016 02:00:00,Temperature,t,Celsius
106062,52.521633,-7.283688,7.987451,01-5-2016 02:00:00,Temperature,t,Celsius
104473,52.447430,-7.337415,7.620508,01-5-2016 03:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,7.772852,01-5-2016 03:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,7.955957,01-5-2016 03:00:00,Temperature,t,Celsius
