index,lat,lon,value,timestamp,name,shortname,units
104473,52.447430,-7.337415,8.301904,01-3-2016 01:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,8.441553,01-3-2016 01:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,8.611719,01-3-2016 01:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,8.541895,01-3-2016 01:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,8.589746,01-3-2016 01:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,8.746973,01-3-2016 01:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,8.908350,01-3-2016 01:00:00,Temperature,t,Celsius
105531,52.491741,-7.350140,8.934229,01-3-2016 01:00:00,Temperature,t,Celsius
105532,52.495613,-7.313749,9.034814,01-3-2016 01:00:00,Temperature,t,Celsius
105533,52.499474,-7.277352,9.087061,01-3-2016 01:00:00,Temperature,t,Celsius
106062,52.521633,-7.283688,9.152490,01-3-2016 01:00:00,Temperature,t,Celsius
104473,52.447430,-7.337415,8.645898,01-3-2016 02:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,8.790186,01-3-2016 02:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,8.955713,01-3-2016 02:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,8.942773,01-3-2016 02:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,8.964502,01-3-2016 02:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,9.086816,01-3-2016 02:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,9.230615,01-3-2016 02:00:00,Temperature,t,Celsius
105531,52.491741,-7.350140,9.366113,01-3-2016 02:00:00,Temperature,t,Celsius
105532,52.495613,-7.313749,9.427148,01-3-2016 02:00:00,Temperature,t,Celsius
105533,52.499474,-7.277352,9.435938,01-3-2016 02:00:00,Temperature,t,Celsius
106062,52.521633,-7.283688,9.553857,01-3-2016 02:00:00,Temperature,t,Celsius
104473,52.447430,-7.337415,8.691553,01-3-2016 03:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,8.831201,01-3-2016 03:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,9.006006,01-3-2016 03:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,8.992822,01-3-2016 03:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,9.027979,01-3-2016 03:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,9.154443,01-3-2016 03:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,9.302881,01-3-2016 03:00:00,Temperature,t,Celsius
