index,lat,lon,value,timestamp,name,shortname,units
104473,52.447430,-7.337415,9.908105,01-2-2016 01:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,10.100000,01-2-2016 01:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,10.326563,01-2-2016 01:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,10.217432,01-2-2016 01:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,10.313379,01-2-2016 01:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,10.465967,01-2-2016 01:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,10.644678,01-2-2016 01:00:00,Temperature,t,Celsius
105531,52.491741,-7.350140,10.631494,01-2-2016 01:00:00,Temperature,t,Celsius
105532,52.495613,-7.313749,10.801416,01-2-2016 01:00:00,Temperature,t,Celsius
105533,52.499474,-7.277352,10.849512,01-2-2016 01:00:00,Temperature,t,Celsius
106062,52.521633,-7.283688,10.845117,01-2-2016 01:00:00,Temperature,t,Celsius
104473,52.447430,-7.337415,9.742578,01-2-2016 02:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,9.912500,01-2-2016 02:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,9.986475,01-2-2016 02:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,9.982080,01-2-2016 02:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,10.086572,01-2-2016 02:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,10.221826,01-2-2016 02:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,10.300195,01-2-2016 02:00:00,Temperature,t,Celsius
105531,52.491741,-7.350140,10.343896,01-2-2016 02:00:00,Temperature,t,Celsius
105532,52.495613,-7.313749,10.548730,01-2-2016 02:00:00,Temperature,t,Celsius
105533,52.499474,-7.277352,10.587793,01-2-2016 02:00:00,Temperature,t,Celsius
106062,52.521633,-7.283688,10.635889,01-2-2016 02:00:00,Temperature,t,Celsius
104473,52.447430,-7.337415,9.450830,01-2-2016 03:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,9.503076,01-2-2016 03:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,9.572900,01-2-2016 03:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,9.677637,01-2-2016 03:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,9.769189,01-2-2016 03:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,9.786523,01-2-2016 03:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,9.830225,01-2-2016 03:00:00,Temperature,t,Celsius
105531,52.491741,-7.350140,10.052637,01-2-2016 03:00:00,Temperature,t,Celsius
105532,52.495613,-7.313749,10.126611,01-2-2016 03:00:00,Temperature,t,Celsius
105533,52.499474,-7.277352,10.000146,01-2-2016 03:00:00,Temperature,t,Celsius
106062,52.521633,-7.283688,10.139795,01-2-2016 03:00:00,Temperature,t,Celsius
104473,52.447430,-7.337415,9.448145,01-2-2016 04:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,9.596338,01-2-2016 04:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,9.770654,01-2-2016 04:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,9.762109,01-2-2016 04:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,9.818506,01-2-2016 04:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,9.945215,01-2-2016 04:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,10.075830,01-2-2016 04:00:00,Temperature,t,Celsius
105531,52.491741,-7.350140,10.202295,01-2-2016 04:00:00,Temperature,t,Celsius
105532,52.495613,-7.313749,10.280664,01-2-2016 04:00:00,Temperature,t,Celsius
105533,52.499474,-7.277352,10.267480,01-2-2016 04:00:00,Temperature,t,Celsius
106062,52.521633,-7.283688,10.367822,01-2-2016 04:00:00,Temperature,t,Celsius
104473,52.447430,-7.337415,9.651758,01-2-2016 05:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,9.821680,01-2-2016 05:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,10.013574,01-2-2016 05:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,9.900293,01-2-2016 05:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,9.996240,01-2-2016 05:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,10.170557,01-2-2016 05:00:00,Temperature,t,Celsius
105004,52.477315,-7.271023,10.358057,01-2-2016 05:00:00,Temperature,t,Celsius
105531,52.491741,-7.350140,10.375635,01-2-2016 05:00:00,Temperature,t,Celsius
105532,52.495613,-7.313749,10.515039,01-2-2016 05:00:00,Temperature,t,Celsius
105533,52.499474,-7.277352,10.563135,01-2-2016 05:00:00,Temperature,t,Celsius
106062,52.521633,-7.283688,10.654443,01-2-2016 05:00:00,Temperature,t,Celsius
104473,52.447430,-7.337415,9.889307,01-2-2016 06:00:00,Temperature,t,Celsius
104474,52.451298,-7.301061,10.063867,01-2-2016 06:00:00,Temperature,t,Celsius
104475,52.455155,-7.264700,10.264551,01-2-2016 06:00:00,Temperature,t,Celsius
105001,52.465704,-7.380140,10.159814,01-2-2016 06:00:00,Temperature,t,Celsius
105002,52.469586,-7.343774,10.229639,01-2-2016 06:00:00,Temperature,t,Celsius
105003,52.473456,-7.307402,10.412744,01-2-2016 06:00:00,Temperature,t,Celsius
